year,assaults
01-Apr-07,14780
01-Apr-08,15644
01-Apr-09,15775
01-Apr-10,14915
01-Apr-11,14473
01-Apr-12,15577
01-Apr-13,14083
01-Apr-14,15051
01-Apr-15,16885
01-Apr-16,22195
