year,assault incidents,prison officers
2006-7,"14,780","19,908"
2007-8,"15,644","19,836"
2008-9,"15,775","18,679"
2009-10,"14,915","17,764"
2010-11,"14,473","15,014"
2011-12,"15,577","14,904"
2012-13,"14,083","15,114"
2013-14,"15,051","15,083"
2014-15,"16,885","14,836"
2015-16,"22,195","14,917"
